# 我的清单 · 2026-09-09
# 总资产17.05万 / 本金20万 = -14.7% | 仓位91% | 现金1.54万
# ★本次修正：删佰维/仕佳/英维克(已卖)，加东方电气/紫金矿业/申菱环境
# ★ST海华代码002018系统查无此股，暂移出持仓改为备注，避免污染全表

# ────────── 账户 ──────────
账户 | 本金   | 20.00
账户 | 总资产 | 17.05
账户 | 现金   | 1.54

# ────────── 持仓 6 只 ──────────
持仓 | 300475 | 香农芯创 | 173.621 | 3.49 | 147.1 | 半导体 | 存储涨价链 | 2026-08-13 | B | 12周(存储涨价至2027) | ①SK海力士/长鑫扩产落空 ②DDR5价格转跌 ③半导体连3天资金流出
持仓 | 600875 | 东方电气 | 25.150 | 2.59 | 23.09 | 电网设备 | AI供电·燃气轮机链 | 2026-09-04 | B | 12-24周(全球燃机订单排至2030) | ①燃机订单取消 ②电网设备连3天资金流出 ③公司公告否认相关业务
持仓 | 002472 | 双环传动 | 35.391 | 2.58 | 32.80 | 汽车零部件 | 机器人执行器链 | 2026-09-01 | B | 12周(机器人量产) | ①人形机器人量产不及预期 ②减速器订单下滑 ③汽车零部件连3天资金流出
持仓 | 601899 | 紫金矿业 | 33.881 | 2.04 | 31.03 | 有色金属 | 铜金涨价链 | 2026-09-08 | B | 12-24周(伦铜创历史新高) | ①伦铜跌破14000美元 ②贵金属连3天资金流出 ③公司公告减产
持仓 | 601689 | 拓普集团 | 46.435 | 1.84 | 41.80 | 汽车零部件 | 机器人执行器链 | 2026-08-20 | B | 12周(机器人量产) | ①人形机器人量产不及预期 ②执行器订单下滑 ③汽车零部件连3天资金流出
持仓 | 301018 | 申菱环境 | 107.484 | 2.02 | 98.86 | 通用设备 | AI散热链 | 2026-09-07 | B | 12周(AI液冷渗透) | ①液冷订单取消 ②3日不创新高108.21 ③通用设备连2天流出且板块跌>1%

# ⚠️ ST海华：用户自定，AI不介入。代码002018系统查无此股，
#    为避免污染整张表的价格/技术指标，暂不写入持仓行。
#    2700股 @3.648，用户自行管理。

# ────────── 重点观察 ──────────
观察 | 300394 | 天孚通信 | 0 | 0 | 0 | 通信设备 | CPO光模块链
候选 | 601727 | 上海电气 | 0 | 0 | 0 | 电网设备 | AI供电·燃气轮机
候选 | 688239 | 航宇科技 | 0 | 0 | 0 | 航空装备 | AI供电·燃机锻件
候选 | 688510 | 航亚科技 | 0 | 0 | 0 | 航空装备 | AI供电·燃机叶片
候选 | 605123 | 派克新材 | 0 | 0 | 0 | 航空装备 | AI供电·燃机锻件
候选 | 002595 | 豪迈科技 | 0 | 0 | 0 | 通用设备 | AI供电·燃机部件
候选 | 002366 | 融发核电 | 0 | 0 | 0 | 电力设备 | 核电设备
候选 | 001896 | 豫能控股 | 0 | 0 | 0 | 电力 | 电力

# ═══════ 光通信/PCB链（9/9美股传导，跳升248-355位）═══════
候选 | 300308 | 中际旭创 | 0 | 0 | 0 | 通信设备 | CPO光模块链
候选 | 601869 | 长飞光纤 | 0 | 0 | 0 | 通信设备 | 光纤·南向重仓
候选 | 600487 | 亨通光电 | 0 | 0 | 0 | 通信设备 | 光纤+海缆双腿
候选 | 300570 | 太辰光 | 0 | 0 | 0 | 通信设备 | CPO·FAU批量出货
候选 | 688498 | 源杰科技 | 0 | 0 | 0 | 光学光电子 | CPO上游光芯片
候选 | 688048 | 长光华芯 | 0 | 0 | 0 | 光学光电子 | CPO上游光芯片
候选 | 603297 | 永新光学 | 0 | 0 | 0 | 光学光电子 | CPO光学元件
候选 | 300806 | 斯迪克 | 0 | 0 | 0 | 其他电子 | 折叠屏OCA+PCB
候选 | 002859 | 洁美科技 | 0 | 0 | 0 | 元件 | MLCC载带
候选 | 000636 | 风华高科 | 0 | 0 | 0 | 元件 | MLCC
候选 | 002138 | 顺络电子 | 0 | 0 | 0 | 元件 | 电感·冷低早顺风

# ═══════ 存储/半导体链 ═══════
候选 | 001309 | 德明利 | 0 | 0 | 0 | 半导体 | 存储涨价链
候选 | 603986 | 兆易创新 | 0 | 0 | 0 | 半导体 | 存储涨价链·NOR原厂
候选 | 688702 | 盛科通信 | 0 | 0 | 0 | 半导体 | 交换芯片·大基金减持
候选 | 688107 | 安路科技 | 0 | 0 | 0 | 半导体 | FPGA
候选 | 688531 | 日联科技 | 0 | 0 | 0 | 专用设备 | 半导体设备链
候选 | 300037 | 新宙邦 | 0 | 0 | 0 | 电子化学品 | 半导体材料链
候选 | 603078 | 江化微 | 0 | 0 | 0 | 电子化学品 | 半导体材料链
候选 | 300054 | 鼎龙股份 | 0 | 0 | 0 | 电子化学品 | 半导体材料·冷低早

# ═══════ 有色/资源链 ═══════
候选 | 600547 | 山东黄金 | 0 | 0 | 0 | 贵金属 | 避险+央行购金
候选 | 000969 | 安泰科技 | 0 | 0 | 0 | 金属新材料 | 机器人零部件
候选 | 300811 | 铂科新材 | 0 | 0 | 0 | 金属新材料 | AI供电链
候选 | 002428 | 云南锗业 | 0 | 0 | 0 | 小金属 | CPO上游InP衬底
候选 | 600206 | 有研新材 | 0 | 0 | 0 | 有色金属 | 定增被终止

# ═══════ 医药/CXO ═══════
候选 | 603259 | 药明康德 | 0 | 0 | 0 | 医疗服务 | AI+制药CXO
候选 | 002821 | 凯莱英 | 0 | 0 | 0 | 化学制药 | AI+制药CXO
候选 | 603456 | 九洲药业 | 0 | 0 | 0 | 化学制药 | AI+制药CXO
候选 | 688131 | 皓元医药 | 0 | 0 | 0 | 医疗服务 | AI+制药CXO

# ═══════ 军工链 ═══════
候选 | 920223 | 荣亿精密 | 0 | 0 | 0 | 通用设备 | 军工
候选 | 920006 | 晟楠科技 | 0 | 0 | 0 | 军工电子 | 军工
候选 | 300581 | 晨曦航空 | 0 | 0 | 0 | 航空装备 | 军工
候选 | 920247 | 华密新材 | 0 | 0 | 0 | 橡胶制品 | 军工
候选 | 920943 | 优机股份 | 0 | 0 | 0 | 通用设备 | 军工

# ═══════ 农业/消费（已退潮，降级观察）═══════
候选 | 600371 | 万向德农 | 0 | 0 | 0 | 种植业 | 粮食涨价·已警示
候选 | 600540 | 新赛股份 | 0 | 0 | 0 | 种植业 | 粮食涨价链
候选 | 000505 | 京粮控股 | 0 | 0 | 0 | 农产品加工 | 粮食涨价链
候选 | 002679 | 福建金森 | 0 | 0 | 0 | 林业 | 粮食涨价链
候选 | 601086 | 国芳集团 | 0 | 0 | 0 | 零售 | 零售消费·已警示
候选 | 601319 | 中国人保 | 0 | 0 | 0 | 保险 | 银行保险利率链
